entity,ean,description,gtin,width,height,length,net_weight,gross_weight,created_at,updated_at,release_date,price,avg_price,max_price,min_price,gtins[0].gtin,gtins[0].commercial_unit.type_packaging,gtins[0].commercial_unit.quantity_packaging,gtins[0].commercial_unit.ballast,gtins[0].commercial_unit.layer,origin,barcode_image,api_status,thumbnail,brand.name,brand.picture,ncm.code,ncm.description,ncm.full_description,ncm.ex,gtins[1].gtin,gtins[1].commercial_unit.type_packaging,gtins[1].commercial_unit.quantity_packaging,gtins[1].commercial_unit.ballast,gtins[1].commercial_unit.layer,category.id,category.description,category.parent_id,cest.id,cest.code,cest.description,cest.parent_id,gtins[2].gtin,gtins[2].commercial_unit.type_packaging,gtins[2].commercial_unit.quantity_packaging,gtins[2].commercial_unit.ballast,gtins[2].commercial_unit.layer
Ar Condicionado,7898966337659,UNIDADE EXTERNA SPLIT HW 12 KBTUS Q/F 220V DAIKIN FULL INVERTER R32 RHC12T5VL,7898966337659,,,,,,2026-06-22T04:42:36.000-03:00,2026-06-22T04:42:36.000-03:00,,,,0,0,7898966337659,Pacote,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/FCB763EDDF15D15638BC867C4A9BA46A.png,,,,,84159020,"Unidades condensadoras (externas) de aparelho de ar-condicionado do tipo split- system (sistema com elementos separados), com capacidade inferior ou igual a 30.000 frigorias/hora","Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Máquinas e aparelhos de arcondicionado contendo um ventilador motorizado e dispositivos próprios para modificar a temperatura e a umidade, incluídos as máquinas e aparelhos em que a umidade não seja regulável separadamente - Partes - Unidades condensadoras (externas) de aparelho de ar-condicionado do tipo split- system (sistema com elementos separados), com capacidade inferior ou igual a 30.000 frigorias/hora",,,,,,,,,,,,,,,,,,
Ar Condicionado,7898966337697,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898966337789,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898972610012,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898972610036,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7898977579918,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899929072358,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963911835,,,,,,,,,,,,,,,,,,,,,,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963913495,SPLIT PHILCO E88 PAC,7899963913495,,,,,,2023-11-26T13:28:49.000-03:00,2024-08-30T07:04:21.000-03:00,,,,0,0,7899963913495,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/FA56506A6F29B985848611D727BBC10C.png,,,,,84151011,Do tipo split-system (sistema com elementos separados),"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Máquinas e aparelhos de arcondicionado contendo um ventilador motorizado e dispositivos próprios para modificar a temperatura e a umidade, incluídos as máquinas e aparelhos em que a umidade não seja regulável separadamente - Dos tipos utilizados em paredes ou janelas, formando um corpo único ou do tipo ""splitsystem"" (sistema com elementos separados) - Com capacidade inferior ou igual a 30.000 frigorias/hora - Do tipo split-system (sistema com elementos separados)",,,,,,,,,,,,,,,,,,
Ar Condicionado,7899963913594,P1800 COND AR SPLIT INVERT 18000BT C PHILCO TRIBUTOS APROXIMADOS FED R 211 82 9 25 EST R 0 00 0 MUN R 0 00 0,7899963913594,,,,,,2024-01-14T12:52:16.000-03:00,2024-01-14T12:52:18.000-03:00,,,,0,0,7899963913594,Unidade,1,,,COSMOS,https://cosmos.bluesoft.com.br/products/barcode/FA56506A6F29B985CF199FAE5FFF5152.png,,,,,,,,,,,,,,,,,,,,,,,,,
